domain	categories
travel-and-music-blog.com	483,1
family-movie-reviews.com	396
gardening-tips.example	224
tech-news-daily.example	596
adult-content-hub.com	Rm3SiT
extreme-violence-videos.example	I4GWl6,XtODT3
buy-weapons-now.example	avbNf2
hate-speech-forum.example	HxqYV1
illegal-drugs-market.example	pg0WhF
terror-propaganda.example	8FD8nI
piracy-downloads.example	mm3UXx
profanity-central.example	j9PaO9
spam-and-scams.example	6i4dB6
mixed-news-and-adult.example	596,Rm3SiT
cooking-and-guns.example	224,avbNf2
sports-highlights.example	483
kids-education.example	132
finance-advice.example	391
recipe-collection.example	224
science-explainers.example	596
